id,region,departement,centre_vote,bureau_vote,type_vote
86,Thiès,Tivaouane,Centre de Vote Tivaouane 3,BV-TIV-03-02,National
87,Thiès,Tivaouane,Centre de Vote Tivaouane 4,BV-TIV-04-01,National
88,Thiès,Tivaouane,Centre de Vote Tivaouane 4,BV-TIV-04-02,National
89,Thiès,Tivaouane,Centre de Vote Tivaouane 5,BV-TIV-05-01,National
90,Thiès,Tivaouane,Centre de Vote Tivaouane 5,BV-TIV-05-02,National
91,Diourbel,Diourbel,Centre de Vote Diourbel 1,BV-DIO-01-01,National
92,Diourbel,Diourbel,Centre de Vote Diourbel 1,BV-DIO-01-02,National
93,Diourbel,Diourbel,Centre de Vote Diourbel 2,BV-DIO-02-01,National
94,Diourbel,Diourbel,Centre de Vote Diourbel 2,BV-DIO-02-02,National
95,Diourbel,Diourbel,Centre de Vote Diourbel 3,BV-DIO-03-01,National
96,Diourbel,Diourbel,Centre de Vote Diourbel 3,BV-DIO-03-02,National
97,Diourbel,Diourbel,Centre de Vote Diourbel 4,BV-DIO-04-01,National
98,Diourbel,Diourbel,Centre de Vote Diourbel 4,BV-DIO-04-02,National
99,Diourbel,Diourbel,Centre de Vote Diourbel 5,BV-DIO-05-01,National
100,Diourbel,Diourbel,Centre de Vote Diourbel 5,BV-DIO-05-02,National
101,Diourbel,Bambey,Centre de Vote Bambey 1,BV-BAM-01-01,National
102,Diourbel,Bambey,Centre de Vote Bambey 1,BV-BAM-01-02,National
103,Diourbel,Bambey,Centre de Vote Bambey 2,BV-BAM-02-01,National
104,Diourbel,Bambey,Centre de Vote Bambey 2,BV-BAM-02-02,National
105,Diourbel,Bambey,Centre de Vote Bambey 3,BV-BAM-03-01,National
106,Diourbel,Bambey,Centre de Vote Bambey 3,BV-BAM-03-02,National
107,Diourbel,Bambey,Centre de Vote Bambey 4,BV-BAM-04-01,National
108,Diourbel,Bambey,Centre de Vote Bambey 4,BV-BAM-04-02,National
109,Diourbel,Bambey,Centre de Vote Bambey 5,BV-BAM-05-01,National
110,Diourbel,Bambey,Centre de Vote Bambey 5,BV-BAM-05-02,National
111,Diourbel,Mbacké,Centre de Vote Mbacké 1,BV-MBA-01-01,National
112,Diourbel,Mbacké,Centre de Vote Mbacké 1,BV-MBA-01-02,National
113,Diourbel,Mbacké,Centre de Vote Mbacké 2,BV-MBA-02-01,National
114,Diourbel,Mbacké,Centre de Vote Mbacké 2,BV-MBA-02-02,National
115,Diourbel,Mbacké,Centre de Vote Mbacké 3,BV-MBA-03-01,National
116,Diourbel,Mbacké,Centre de Vote Mbacké 3,BV-MBA-03-02,National
117,Diourbel,Mbacké,Centre de Vote Mbacké 4,BV-MBA-04-01,National
118,Diourbel,Mbacké,Centre de Vote Mbacké 4,BV-MBA-04-02,National
119,Diourbel,Mbacké,Centre de Vote Mbacké 5,BV-MBA-05-01,National
120,Diourbel,Mbacké,Centre de Vote Mbacké 5,BV-MBA-05-02,National
121,Saint-Louis,Saint-Louis,Centre de Vote Saint-Louis 1,BV-SAI-01-01,National
122,Saint-Louis,Saint-Louis,Centre de Vote Saint-Louis 1,BV-SAI-01-02,National
123,Saint-Louis,Saint-Louis,Centre de Vote Saint-Louis 2,BV-SAI-02-01,National
124,Saint-Louis,Saint-Louis,Centre de Vote Saint-Louis 2,BV-SAI-02-02,National
125,Saint-Louis,Saint-Louis,Centre de Vote Saint-Louis 3,BV-SAI-03-01,National
126,Saint-Louis,Saint-Louis,Centre de Vote Saint-Louis 3,BV-SAI-03-02,National
127,Saint-Louis,Saint-Louis,Centre de Vote Saint-Louis 4,BV-SAI-04-01,National
128,Saint-Louis,Saint-Louis,Centre de Vote Saint-Louis 4,BV-SAI-04-02,National
129,Saint-Louis,Saint-Louis,Centre de Vote Saint-Louis 5,BV-SAI-05-01,National
130,Saint-Louis,Saint-Louis,Centre de Vote Saint-Louis 5,BV-SAI-05-02,National
131,Saint-Louis,Dagana,Centre de Vote Dagana 1,BV-DAG-01-01,National
132,Saint-Louis,Dagana,Centre de Vote Dagana 1,BV-DAG-01-02,National
133,Saint-Louis,Dagana,Centre de Vote Dagana 2,BV-DAG-02-01,National
134,Saint-Louis,Dagana,Centre de Vote Dagana 2,BV-DAG-02-02,National
135,Saint-Louis,Dagana,Centre de Vote Dagana 3,BV-DAG-03-01,National
136,Saint-Louis,Dagana,Centre de Vote Dagana 3,BV-DAG-03-02,National
137,Saint-Louis,Dagana,Centre de Vote Dagana 4,BV-DAG-04-01,National
138,Saint-Louis,Dagana,Centre de Vote Dagana 4,BV-DAG-04-02,National
139,Saint-Louis,Dagana,Centre de Vote Dagana 5,BV-DAG-05-01,National
140,Saint-Louis,Dagana,Centre de Vote Dagana 5,BV-DAG-05-02,National
141,Saint-Louis,Podor,Centre de Vote Podor 1,BV-POD-01-01,National
142,Saint-Louis,Podor,Centre de Vote Podor 1,BV-POD-01-02,National
143,Saint-Louis,Podor,Centre de Vote Podor 2,BV-POD-02-01,National
144,Saint-Louis,Podor,Centre de Vote Podor 2,BV-POD-02-02,National
145,Saint-Louis,Podor,Centre de Vote Podor 3,BV-POD-03-01,National
146,Saint-Louis,Podor,Centre de Vote Podor 3,BV-POD-03-02,National
147,Saint-Louis,Podor,Centre de Vote Podor 4,BV-POD-04-01,National
148,Saint-Louis,Podor,Centre de Vote Podor 4,BV-POD-04-02,National
149,Saint-Louis,Podor,Centre de Vote Podor 5,BV-POD-05-01,National
150,Saint-Louis,Podor,Centre de Vote Podor 5,BV-POD-05-02,National
151,Louga,Louga,Centre de Vote Louga 1,BV-LOU-01-01,National
152,Louga,Louga,Centre de Vote Louga 1,BV-LOU-01-02,National
153,Louga,Louga,Centre de Vote Louga 2,BV-LOU-02-01,National
154,Louga,Louga,Centre de Vote Louga 2,BV-LOU-02-02,National
155,Louga,Louga,Centre de Vote Louga 3,BV-LOU-03-01,National
156,Louga,Louga,Centre de Vote Louga 3,BV-LOU-03-02,National
157,Louga,Louga,Centre de Vote Louga 4,BV-LOU-04-01,National
158,Louga,Louga,Centre de Vote Louga 4,BV-LOU-04-02,National
159,Louga,Louga,Centre de Vote Louga 5,BV-LOU-05-01,National
160,Louga,Louga,Centre de Vote Louga 5,BV-LOU-05-02,National
161,Louga,Linguère,Centre de Vote Linguère 1,BV-LIN-01-01,National
162,Louga,Linguère,Centre de Vote Linguère 1,BV-LIN-01-02,National
163,Louga,Linguère,Centre de Vote Linguère 2,BV-LIN-02-01,National
164,Louga,Linguère,Centre de Vote Linguère 2,BV-LIN-02-02,National
165,Louga,Linguère,Centre de Vote Linguère 3,BV-LIN-03-01,National
166,Louga,Linguère,Centre de Vote Linguère 3,BV-LIN-03-02,National
167,Louga,Linguère,Centre de Vote Linguère 4,BV-LIN-04-01,National
168,Louga,Linguère,Centre de Vote Linguère 4,BV-LIN-04-02,National
169,Louga,Linguère,Centre de Vote Linguère 5,BV-LIN-05-01,National
170,Louga,Linguère,Centre de Vote Linguère 5,BV-LIN-05-02,National
171,Louga,Kébémer,Centre de Vote Kébémer 1,BV-KÉB-01-01,National
172,Louga,Kébémer,Centre de Vote Kébémer 1,BV-KÉB-01-02,National
173,Louga,Kébémer,Centre de Vote Kébémer 2,BV-KÉB-02-01,National
174,Louga,Kébémer,Centre de Vote Kébémer 2,BV-KÉB-02-02,National
175,Louga,Kébémer,Centre de Vote Kébémer 3,BV-KÉB-03-01,National
176,Louga,Kébémer,Centre de Vote Kébémer 3,BV-KÉB-03-02,National
177,Louga,Kébémer,Centre de Vote Kébémer 4,BV-KÉB-04-01,National
178,Louga,Kébémer,Centre de Vote Kébémer 4,BV-KÉB-04-02,National
179,Louga,Kébémer,Centre de Vote Kébémer 5,BV-KÉB-05-01,National
180,Louga,Kébémer,Centre de Vote Kébémer 5,BV-KÉB-05-02,National
181,Fatick,Fatick,Centre de Vote Fatick 1,BV-FAT-01-01,National
182,Fatick,Fatick,Centre de Vote Fatick 1,BV-FAT-01-02,National
183,Fatick,Fatick,Centre de Vote Fatick 2,BV-FAT-02-01,National
184,Fatick,Fatick,Centre de Vote Fatick 2,BV-FAT-02-02,National
185,Fatick,Fatick,Centre de Vote Fatick 3,BV-FAT-03-01,National
186,Fatick,Fatick,Centre de Vote Fatick 3,BV-FAT-03-02,National
187,Fatick,Fatick,Centre de Vote Fatick 4,BV-FAT-04-01,National
188,Fatick,Fatick,Centre de Vote Fatick 4,BV-FAT-04-02,National
189,Fatick,Fatick,Centre de Vote Fatick 5,BV-FAT-05-01,National
190,Fatick,Fatick,Centre de Vote Fatick 5,BV-FAT-05-02,National
191,Fatick,Foundiougne,Centre de Vote Foundiougne 1,BV-FOU-01-01,National
192,Fatick,Foundiougne,Centre de Vote Foundiougne 1,BV-FOU-01-02,National
193,Fatick,Foundiougne,Centre de Vote Foundiougne 2,BV-FOU-02-01,National
194,Fatick,Foundiougne,Centre de Vote Foundiougne 2,BV-FOU-02-02,National
195,Fatick,Foundiougne,Centre de Vote Foundiougne 3,BV-FOU-03-01,National
196,Fatick,Foundiougne,Centre de Vote Foundiougne 3,BV-FOU-03-02,National
197,Fatick,Foundiougne,Centre de Vote Foundiougne 4,BV-FOU-04-01,National
198,Fatick,Foundiougne,Centre de Vote Foundiougne 4,BV-FOU-04-02,National
199,Fatick,Foundiougne,Centre de Vote Foundiougne 5,BV-FOU-05-01,National
200,Fatick,Foundiougne,Centre de Vote Foundiougne 5,BV-FOU-05-02,National
201,Fatick,Gossas,Centre de Vote Gossas 1,BV-GOS-01-01,National
202,Fatick,Gossas,Centre de Vote Gossas 1,BV-GOS-01-02,National
203,Fatick,Gossas,Centre de Vote Gossas 2,BV-GOS-02-01,National
204,Fatick,Gossas,Centre de Vote Gossas 2,BV-GOS-02-02,National
205,Fatick,Gossas,Centre de Vote Gossas 3,BV-GOS-03-01,National
206,Fatick,Gossas,Centre de Vote Gossas 3,BV-GOS-03-02,National
207,Fatick,Gossas,Centre de Vote Gossas 4,BV-GOS-04-01,National
208,Fatick,Gossas,Centre de Vote Gossas 4,BV-GOS-04-02,National
209,Fatick,Gossas,Centre de Vote Gossas 5,BV-GOS-05-01,National
210,Fatick,Gossas,Centre de Vote Gossas 5,BV-GOS-05-02,National
211,Kaolack,Kaolack,Centre de Vote Kaolack 1,BV-KAO-01-01,National
212,Kaolack,Kaolack,Centre de Vote Kaolack 1,BV-KAO-01-02,National
213,Kaolack,Kaolack,Centre de Vote Kaolack 2,BV-KAO-02-01,National
214,Kaolack,Kaolack,Centre de Vote Kaolack 2,BV-KAO-02-02,National
215,Kaolack,Kaolack,Centre de Vote Kaolack 3,BV-KAO-03-01,National
216,Kaolack,Kaolack,Centre de Vote Kaolack 3,BV-KAO-03-02,National
217,Kaolack,Kaolack,Centre de Vote Kaolack 4,BV-KAO-04-01,National
218,Kaolack,Kaolack,Centre de Vote Kaolack 4,BV-KAO-04-02,National
219,Kaolack,Kaolack,Centre de Vote Kaolack 5,BV-KAO-05-01,National
220,Kaolack,Kaolack,Centre de Vote Kaolack 5,BV-KAO-05-02,National
221,Kaolack,Nioro,Centre de Vote Nioro 1,BV-NIO-01-01,National
222,Kaolack,Nioro,Centre de Vote Nioro 1,BV-NIO-01-02,National
223,Kaolack,Nioro,Centre de Vote Nioro 2,BV-NIO-02-01,National
224,Kaolack,Nioro,Centre de Vote Nioro 2,BV-NIO-02-02,National
225,Kaolack,Nioro,Centre de Vote Nioro 3,BV-NIO-03-01,National
226,Kaolack,Nioro,Centre de Vote Nioro 3,BV-NIO-03-02,National
227,Kaolack,Nioro,Centre de Vote Nioro 4,BV-NIO-04-01,National
228,Kaolack,Nioro,Centre de Vote Nioro 4,BV-NIO-04-02,National
229,Kaolack,Nioro,Centre de Vote Nioro 5,BV-NIO-05-01,National
230,Kaolack,Nioro,Centre de Vote Nioro 5,BV-NIO-05-02,National
231,Kaolack,Guinguinéo,Centre de Vote Guinguinéo 1,BV-GUI-01-01,National
232,Kaolack,Guinguinéo,Centre de Vote Guinguinéo 1,BV-GUI-01-02,National
233,Kaolack,Guinguinéo,Centre de Vote Guinguinéo 2,BV-GUI-02-01,National
234,Kaolack,Guinguinéo,Centre de Vote Guinguinéo 2,BV-GUI-02-02,National
235,Kaolack,Guinguinéo,Centre de Vote Guinguinéo 3,BV-GUI-03-01,National
236,Kaolack,Guinguinéo,Centre de Vote Guinguinéo 3,BV-GUI-03-02,National
237,Kaolack,Guinguinéo,Centre de Vote Guinguinéo 4,BV-GUI-04-01,National
238,Kaolack,Guinguinéo,Centre de Vote Guinguinéo 4,BV-GUI-04-02,National
239,Kaolack,Guinguinéo,Centre de Vote Guinguinéo 5,BV-GUI-05-01,National
240,Kaolack,Guinguinéo,Centre de Vote Guinguinéo 5,BV-GUI-05-02,National
241,Kaffrine,Kaffrine,Centre de Vote Kaffrine 1,BV-KAF-01-01,National
242,Kaffrine,Kaffrine,Centre de Vote Kaffrine 1,BV-KAF-01-02,National
243,Kaffrine,Kaffrine,Centre de Vote Kaffrine 2,BV-KAF-02-01,National
244,Kaffrine,Kaffrine,Centre de Vote Kaffrine 2,BV-KAF-02-02,National
245,Kaffrine,Kaffrine,Centre de Vote Kaffrine 3,BV-KAF-03-01,National
246,Kaffrine,Kaffrine,Centre de Vote Kaffrine 3,BV-KAF-03-02,National
247,Kaffrine,Kaffrine,Centre de Vote Kaffrine 4,BV-KAF-04-01,National
248,Kaffrine,Kaffrine,Centre de Vote Kaffrine 4,BV-KAF-04-02,National
249,Kaffrine,Kaffrine,Centre de Vote Kaffrine 5,BV-KAF-05-01,National
250,Kaffrine,Kaffrine,Centre de Vote Kaffrine 5,BV-KAF-05-02,National
251,Kaffrine,Birkilane,Centre de Vote Birkilane 1,BV-BIR-01-01,National
252,Kaffrine,Birkilane,Centre de Vote Birkilane 1,BV-BIR-01-02,National
253,Kaffrine,Birkilane,Centre de Vote Birkilane 2,BV-BIR-02-01,National
254,Kaffrine,Birkilane,Centre de Vote Birkilane 2,BV-BIR-02-02,National
255,Kaffrine,Birkilane,Centre de Vote Birkilane 3,BV-BIR-03-01,National
256,Kaffrine,Birkilane,Centre de Vote Birkilane 3,BV-BIR-03-02,National
257,Kaffrine,Birkilane,Centre de Vote Birkilane 4,BV-BIR-04-01,National
258,Kaffrine,Birkilane,Centre de Vote Birkilane 4,BV-BIR-04-02,National
259,Kaffrine,Birkilane,Centre de Vote Birkilane 5,BV-BIR-05-01,National
260,Kaffrine,Birkilane,Centre de Vote Birkilane 5,BV-BIR-05-02,National
261,Kaffrine,Malem Hodar,Centre de Vote Malem Hodar 1,BV-MAL-01-01,National
262,Kaffrine,Malem Hodar,Centre de Vote Malem Hodar 1,BV-MAL-01-02,National
263,Kaffrine,Malem Hodar,Centre de Vote Malem Hodar 2,BV-MAL-02-01,National
264,Kaffrine,Malem Hodar,Centre de Vote Malem Hodar 2,BV-MAL-02-02,National
265,Kaffrine,Malem Hodar,Centre de Vote Malem Hodar 3,BV-MAL-03-01,National
266,Kaffrine,Malem Hodar,Centre de Vote Malem Hodar 3,BV-MAL-03-02,National
267,Kaffrine,Malem Hodar,Centre de Vote Malem Hodar 4,BV-MAL-04-01,National
268,Kaffrine,Malem Hodar,Centre de Vote Malem Hodar 4,BV-MAL-04-02,National
269,Kaffrine,Malem Hodar,Centre de Vote Malem Hodar 5,BV-MAL-05-01,National
270,Kaffrine,Malem Hodar,Centre de Vote Malem Hodar 5,BV-MAL-05-02,National
271,Kaffrine,Koungheul,Centre de Vote Koungheul 1,BV-KOU-01-01,National
272,Kaffrine,Koungheul,Centre de Vote Koungheul 1,BV-KOU-01-02,National
273,Kaffrine,Koungheul,Centre de Vote Koungheul 2,BV-KOU-02-01,National
274,Kaffrine,Koungheul,Centre de Vote Koungheul 2,BV-KOU-02-02,National
275,Kaffrine,Koungheul,Centre de Vote Koungheul 3,BV-KOU-03-01,National
276,Kaffrine,Koungheul,Centre de Vote Koungheul 3,BV-KOU-03-02,National
277,Kaffrine,Koungheul,Centre de Vote Koungheul 4,BV-KOU-04-01,National
278,Kaffrine,Koungheul,Centre de Vote Koungheul 4,BV-KOU-04-02,National
279,Kaffrine,Koungheul,Centre de Vote Koungheul 5,BV-KOU-05-01,National
280,Kaffrine,Koungheul,Centre de Vote Koungheul 5,BV-KOU-05-02,National
281,Tambacounda,Tambacounda,Centre de Vote Tambacounda 1,BV-TAM-01-01,National
282,Tambacounda,Tambacounda,Centre de Vote Tambacounda 1,BV-TAM-01-02,National
283,Tambacounda,Tambacounda,Centre de Vote Tambacounda 2,BV-TAM-02-01,National
284,Tambacounda,Tambacounda,Centre de Vote Tambacounda 2,BV-TAM-02-02,National
285,Tambacounda,Tambacounda,Centre de Vote Tambacounda 3,BV-TAM-03-01,National
286,Tambacounda,Tambacounda,Centre de Vote Tambacounda 3,BV-TAM-03-02,National
287,Tambacounda,Tambacounda,Centre de Vote Tambacounda 4,BV-TAM-04-01,National
288,Tambacounda,Tambacounda,Centre de Vote Tambacounda 4,BV-TAM-04-02,National
289,Tambacounda,Tambacounda,Centre de Vote Tambacounda 5,BV-TAM-05-01,National
290,Tambacounda,Tambacounda,Centre de Vote Tambacounda 5,BV-TAM-05-02,National
291,Tambacounda,Bakel,Centre de Vote Bakel 1,BV-BAK-01-01,National
292,Tambacounda,Bakel,Centre de Vote Bakel 1,BV-BAK-01-02,National
293,Tambacounda,Bakel,Centre de Vote Bakel 2,BV-BAK-02-01,National
294,Tambacounda,Bakel,Centre de Vote Bakel 2,BV-BAK-02-02,National
295,Tambacounda,Bakel,Centre de Vote Bakel 3,BV-BAK-03-01,National
296,Tambacounda,Bakel,Centre de Vote Bakel 3,BV-BAK-03-02,National
297,Tambacounda,Bakel,Centre de Vote Bakel 4,BV-BAK-04-01,National
298,Tambacounda,Bakel,Centre de Vote Bakel 4,BV-BAK-04-02,National
299,Tambacounda,Bakel,Centre de Vote Bakel 5,BV-BAK-05-01,National
300,Tambacounda,Bakel,Centre de Vote Bakel 5,BV-BAK-05-02,National
301,Tambacounda,Goudiry,Centre de Vote Goudiry 1,BV-GOU-01-01,National
302,Tambacounda,Goudiry,Centre de Vote Goudiry 1,BV-GOU-01-02,National
303,Tambacounda,Goudiry,Centre de Vote Goudiry 2,BV-GOU-02-01,National
304,Tambacounda,Goudiry,Centre de Vote Goudiry 2,BV-GOU-02-02,National
305,Tambacounda,Goudiry,Centre de Vote Goudiry 3,BV-GOU-03-01,National
306,Tambacounda,Goudiry,Centre de Vote Goudiry 3,BV-GOU-03-02,National
307,Tambacounda,Goudiry,Centre de Vote Goudiry 4,BV-GOU-04-01,National
308,Tambacounda,Goudiry,Centre de Vote Goudiry 4,BV-GOU-04-02,National
309,Tambacounda,Goudiry,Centre de Vote Goudiry 5,BV-GOU-05-01,National
310,Tambacounda,Goudiry,Centre de Vote Goudiry 5,BV-GOU-05-02,National
311,Tambacounda,Koumpentoum,Centre de Vote Koumpentoum 1,BV-KOU-01-01,National
312,Tambacounda,Koumpentoum,Centre de Vote Koumpentoum 1,BV-KOU-01-02,National
313,Tambacounda,Koumpentoum,Centre de Vote Koumpentoum 2,BV-KOU-02-01,National
314,Tambacounda,Koumpentoum,Centre de Vote Koumpentoum 2,BV-KOU-02-02,National
315,Tambacounda,Koumpentoum,Centre de Vote Koumpentoum 3,BV-KOU-03-01,National
316,Tambacounda,Koumpentoum,Centre de Vote Koumpentoum 3,BV-KOU-03-02,National
317,Tambacounda,Koumpentoum,Centre de Vote Koumpentoum 4,BV-KOU-04-01,National
318,Tambacounda,Koumpentoum,Centre de Vote Koumpentoum 4,BV-KOU-04-02,National
319,Tambacounda,Koumpentoum,Centre de Vote Koumpentoum 5,BV-KOU-05-01,National
320,Tambacounda,Koumpentoum,Centre de Vote Koumpentoum 5,BV-KOU-05-02,National
321,Kédougou,Kédougou,Centre de Vote Kédougou 1,BV-KÉD-01-01,National
322,Kédougou,Kédougou,Centre de Vote Kédougou 1,BV-KÉD-01-02,National
323,Kédougou,Kédougou,Centre de Vote Kédougou 2,BV-KÉD-02-01,National
324,Kédougou,Kédougou,Centre de Vote Kédougou 2,BV-KÉD-02-02,National
325,Kédougou,Kédougou,Centre de Vote Kédougou 3,BV-KÉD-03-01,National
